model;attn;ptokens;dtokens;nreqs;bs;qps;tp;model_latency;attn_latency;cpu_latency;batch_latency;throughput
Yi-6B-200K;FLASH_PAGED_16;1024;256;160;160;50;1;-1;-1;0;35.488;4508.566
Yi-6B-200K;FLASH_PAGED_16;1024;256;96;96;50;1;-1;-1;0;23.397;4103.09
Yi-6B-200K;FLASH_PAGED_16;1024;256;1;1;50;1;-1;-1;0;10.467;95.538
Yi-6B-200K;FLASH_PAGED_16;1024;256;8;8;50;1;-1;-1;0;11.461;698.019
Yi-6B-200K;FLASH_PAGED_16;1024;256;288;288;50;1;-1;-1;0;59.149;4869.059
Yi-6B-200K;FLASH_PAGED_16;1024;256;224;224;50;1;-1;-1;0;46.235;4844.815
Yi-6B-200K;FLASH_PAGED_16;1024;256;256;256;50;1;-1;-1;0;49.466;5175.272
Yi-6B-200K;FLASH_PAGED_16;1024;256;128;128;50;1;-1;-1;0;27.765;4610.121
Yi-6B-200K;FLASH_PAGED_16;1024;256;192;192;50;1;-1;-1;0;39.466;4864.947
Yi-6B-200K;FLASH_PAGED_16;1024;256;16;16;50;1;-1;-1;0;12.519;1278.057
Yi-6B-200K;FLASH_PAGED_16;1024;256;320;320;50;1;-1;-1;0;63.985;5001.172
Yi-6B-200K;FLASH_PAGED_16;1024;256;64;64;50;1;-1;-1;0;19.189;3335.244
Yi-6B-200K;FLASH_PAGED_16;1024;256;4;4;50;1;-1;-1;0;11.14;359.066
Yi-6B-200K;FLASH_PAGED_16;1024;256;32;32;50;1;-1;-1;0;14.455;2213.767
Yi-6B-200K;FLASH_PAGED_16;1024;256;2;2;50;1;-1;-1;0;10.971;182.299
Yi-34B-200K;FLASH_PAGED_16;1024;256;160;160;50;2;-1;-1;0;75.936;2107.038
Yi-34B-200K;FLASH_PAGED_16;1024;256;192;192;50;2;-1;-1;0;83.855;2289.667
Yi-34B-200K;FLASH_PAGED_16;1024;256;32;32;50;2;-1;-1;0;39.725;805.538
Yi-34B-200K;FLASH_PAGED_16;1024;256;288;288;50;2;-1;-1;0;124.546;2312.399
Yi-34B-200K;FLASH_PAGED_16;1024;256;224;224;50;2;-1;-1;0;95.787;2338.522
Yi-34B-200K;FLASH_PAGED_16;1024;256;4;4;50;2;-1;-1;0;38.701;103.357
Yi-34B-200K;FLASH_PAGED_16;1024;256;256;256;50;2;-1;-1;0;101.175;2530.269
Yi-34B-200K;FLASH_PAGED_16;1024;256;2;2;50;2;-1;-1;0;39.496;50.638
Yi-34B-200K;FLASH_PAGED_16;1024;256;320;320;50;2;-1;-1;0;120.157;2663.182
Yi-34B-200K;FLASH_PAGED_16;1024;256;8;8;50;2;-1;-1;0;37.208;215.008
Yi-34B-200K;FLASH_PAGED_16;1024;256;96;96;50;2;-1;-1;0;54.453;1762.988
Yi-34B-200K;FLASH_PAGED_16;1024;256;128;128;50;2;-1;-1;0;59.528;2150.249
Yi-34B-200K;FLASH_PAGED_16;1024;256;64;64;50;2;-1;-1;0;45.592;1403.755
Yi-34B-200K;FLASH_PAGED_16;1024;256;16;16;50;2;-1;-1;0;40.619;393.904
Yi-34B-200K;FLASH_PAGED_16;1024;256;1;1;50;2;-1;-1;0;38.754;25.804
Meta-Llama-3-8B;FLASH_PAGED_16;1024;256;160;160;50;2;-1;-1;0;35.805;4468.65
Meta-Llama-3-8B;FLASH_PAGED_16;1024;256;192;192;50;2;-1;-1;0;41.366;4641.493
Meta-Llama-3-8B;FLASH_PAGED_16;1024;256;32;32;50;2;-1;-1;0;26.177;1222.447
Meta-Llama-3-8B;FLASH_PAGED_16;1024;256;288;288;50;2;-1;-1;0;59.309;4855.924
Meta-Llama-3-8B;FLASH_PAGED_16;1024;256;224;224;50;2;-1;-1;0;48.032;4663.558
Meta-Llama-3-8B;FLASH_PAGED_16;1024;256;4;4;50;2;-1;-1;0;24.317;164.494
Meta-Llama-3-8B;FLASH_PAGED_16;1024;256;256;256;50;2;-1;-1;0;52.569;4869.79
Meta-Llama-3-8B;FLASH_PAGED_16;1024;256;2;2;50;2;-1;-1;0;24.28;82.372
Meta-Llama-3-8B;FLASH_PAGED_16;1024;256;320;320;50;2;-1;-1;0;66.313;4825.6
Meta-Llama-3-8B;FLASH_PAGED_16;1024;256;8;8;50;2;-1;-1;0;24.875;321.608
Meta-Llama-3-8B;FLASH_PAGED_16;1024;256;96;96;50;2;-1;-1;0;30.548;3142.595
Meta-Llama-3-8B;FLASH_PAGED_16;1024;256;128;128;50;2;-1;-1;0;32.618;3924.214
Meta-Llama-3-8B;FLASH_PAGED_16;1024;256;64;64;50;2;-1;-1;0;27.329;2341.835
Meta-Llama-3-8B;FLASH_PAGED_16;1024;256;16;16;50;2;-1;-1;0;25.112;637.146
Meta-Llama-3-8B;FLASH_PAGED_16;1024;256;1;1;50;2;-1;-1;0;23.488;42.575
