num_heads;head_size;attn_type;bs;seqlen;duration_paged;duration_nonpaged;decode_speedup
32;128;gqa;1;1K;0.032;0.03;1.07
32;128;gqa;1;2K;0.056;0.052;1.08
32;128;gqa;1;4K;0.104;0.096;1.09
32;128;gqa;1;8K;0.2;0.183;1.09
32;128;gqa;1;16K;0.395;0.361;1.09
32;128;gqa;1;32K;0.779;0.71;1.1
32;128;gqa;4;1K;0.033;0.03;1.08
32;128;gqa;4;2K;0.056;0.052;1.08
32;128;gqa;4;4K;0.106;0.098;1.08
32;128;gqa;4;8K;0.203;0.186;1.09
32;128;gqa;4;16K;0.396;0.361;1.1
32;128;gqa;4;32K;0.784;0.716;1.1
32;128;gqa;8;1K;0.033;0.03;1.08
32;128;gqa;8;2K;0.059;0.055;1.08
32;128;gqa;8;4K;0.109;0.1;1.09
32;128;gqa;8;8K;0.204;0.189;1.08
32;128;gqa;8;16K;0.399;0.363;1.1
32;128;gqa;8;32K;0.785;0.717;1.1
32;128;gqa;16;1K;0.036;0.033;1.08
32;128;gqa;16;2K;0.066;0.061;1.08
32;128;gqa;16;4K;0.116;0.11;1.06
32;128;gqa;16;8K;0.221;0.2;1.11
32;128;gqa;16;16K;0.419;0.389;1.08
32;128;gqa;16;32K;0.816;0.768;1.06
32;128;gqa;32;1K;0.064;0.064;1.0
32;128;gqa;32;2K;0.114;0.115;0.99
32;128;gqa;32;4K;0.215;0.214;1.01
32;128;gqa;32;8K;0.412;0.415;0.99
32;128;gqa;32;16K;0.827;0.801;1.03
32;128;gqa;32;32K;1.612;1.597;1.01
