pagesize;cl;bs;nonpaged;paged;overhead
16;1024;1;0.151;0.19;26
16;1024;2;0.239;0.282;18
16;1024;4;0.377;0.41;9
16;1024;8;0.626;0.681;9
16;1024;16;1.064;1.157;9
16;2048;1;0.393;0.443;13
16;2048;2;0.606;0.669;10
16;2048;4;0.998;1.13;13
16;2048;8;1.79;2.004;12
16;2048;16;3.333;3.72;12
16;4096;1;1.039;1.148;10
16;4096;2;1.787;1.98;11
16;4096;4;3.238;3.644;13
16;4096;8;6.169;6.922;12
16;4096;16;12.17;13.744;13
16;8192;1;3.24;3.672;13
16;8192;2;6.117;6.896;13
16;8192;4;11.943;13.497;13
16;8192;8;23.515;26.577;13
16;8192;16;46.671;52.886;13
16;16384;1;11.925;13.563;14
16;16384;2;23.424;26.512;13
16;16384;4;46.419;52.706;14
16;16384;8;92.735;105.164;13
16;16384;16;185.721;210.444;13
16;32768;1;45.49;51.517;13
16;32768;2;91.15;103.065;13
16;32768;4;183.771;207.486;13
16;32768;8;370.746;418.37;13
16;32768;16;743.492;838.635;13
